10.03.2019  21:24:58 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  09:42:41 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  09:45:15 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  09:45:22 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  09:45:45 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  09:46:34 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  09:47:24 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  10:51:11 ТС категория D DЕ число ПМ 16 и менее, свыше 70 до 100 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  10:52:29 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  10:52:33 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  11:53:48 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  11:53:59 ТС категория Tb тролейбусы, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
11.03.2019  12:14:09 ТС категория Tb тролейбусы, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
12.03.2019  14:20:29 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
12.03.2019  14:21:13 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
12.03.2019  14:21:26 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
12.03.2019  14:23:25 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
12.03.2019  14:24:07 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, физ. лицо, 3 месяца, да
12.03.2019  14:33:57 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:34:29 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:35:27 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:35:40 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:35:49 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:36:19 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:36:49 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:37:22 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:37:38 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:37:48 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:38:34 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:38:58 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:39:07 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:39:15 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:39:38 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:40:20 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:41:13 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:41:25 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:41:45 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:42:09 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:42:13 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:49:51 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, юр. лицо
12.03.2019  14:50:00 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, физ. лицо
12.03.2019  14:52:11 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, физ. лицо
12.03.2019  14:52:58 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, физ. лицо
12.03.2019  14:54:25 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, физ. лицо
12.03.2019  14:54:35 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, физ. лицо
12.03.2019  14:55:00 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, физ. лицо
12.03.2019  14:55:23 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, физ. лицо
12.03.2019  14:56:38 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, физ. лицо
12.03.2019  14:58:41 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, физ. лицо
12.03.2019  14:59:49 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, физ. лицо
12.03.2019  15:00:29 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, да, 3 месяца, да, физ. лицо
12.03.2019  15:01:25 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:10:19 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:10:43 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:10:49 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, нет, нет
12.03.2019  15:20:53 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, нет, нет
12.03.2019  15:20:54 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:21:38 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:21:49 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:22:49 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:22:53 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:23:12 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:23:23 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:25:18 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:28:27 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:29:17 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  15:29:54 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:35:13 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:37:48 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:38:44 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:48:19 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:49:28 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:50:20 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:50:44 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:50:55 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:51:27 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:51:43 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:52:03 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:56:11 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:56:45 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  15:57:14 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  16:22:08 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, да, да
12.03.2019  16:27:30 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  16:31:24 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  16:32:15 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  16:32:21 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, нет, нет
12.03.2019  16:34:22 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, юр. лицо, нет, нет
12.03.2019  16:39:39 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  16:41:53 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  16:43:08 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  16:43:33 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  16:55:34 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  16:56:00 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:03:08 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:12:36 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:15:30 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:16:49 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:18:40 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:19:36 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:21:05 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:22:47 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:26:25 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:26:34 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:26:49 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:26:57 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:29:19 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:29:37 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:31:30 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
12.03.2019  17:34:21 ТС категория А М, до 50 включительно, Республика Адегея, Ограниченое количество лиц допущеных к управлению ТС, от 5 до 15 дней, m, 16-21, 0, 3 месяца, физ. лицо, да, да
